roll_call_id,people_id,vote,vote_desc
1066377,8948,1,Yea
1066377,8949,1,Yea
1066377,8950,1,Yea
1066377,8951,1,Yea
1066377,8952,1,Yea
1066377,8953,1,Yea
1066377,8954,1,Yea
1066377,8955,1,Yea
1066377,8956,1,Yea
1066377,8957,1,Yea
1066377,8958,1,Yea
1066377,8959,1,Yea
1066377,8960,1,Yea
1066377,8961,1,Yea
1066377,8962,1,Yea
1066377,8963,1,Yea
1066377,8964,1,Yea
1066377,8965,1,Yea
1066377,8966,1,Yea
1066377,8967,1,Yea
1066377,8968,1,Yea
1066377,8969,1,Yea
1066377,8970,1,Yea
1066377,8971,1,Yea
1066377,8972,1,Yea
1066377,8973,1,Yea
1066377,8974,1,Yea
1066377,8975,1,Yea
1066377,8976,1,Yea
1066377,8977,1,Yea
1066377,8978,1,Yea
1066377,8979,1,Yea
1066377,8980,1,Yea
1066377,8981,1,Yea
1066377,8982,1,Yea
1066377,8983,1,Yea
1066377,8984,1,Yea
1066377,8985,1,Yea
1066377,8986,1,Yea
1066377,8987,1,Yea
1066377,8988,1,Yea
1066377,8989,1,Yea
1066377,8990,1,Yea
1066377,8991,1,Yea
1066377,8992,1,Yea
1066377,8993,1,Yea
1066377,8994,1,Yea
1066377,8995,1,Yea
1066377,8996,1,Yea
1066377,8997,1,Yea
1066377,8998,1,Yea
1066377,8999,1,Yea
1066377,9000,1,Yea
1066377,9001,1,Yea
1066377,9002,1,Yea
1066377,9003,1,Yea
1066377,9004,1,Yea
1066377,9005,1,Yea
1066377,9006,1,Yea
1066377,9007,1,Yea
1066377,9008,1,Yea
1066377,9009,1,Yea
1066377,9010,1,Yea
1066377,9011,1,Yea
1066377,9013,1,Yea
1066377,9014,1,Yea
1066377,9015,1,Yea
1066377,9016,1,Yea
1066377,9017,1,Yea
1066377,9018,1,Yea
1066377,9019,1,Yea
1066377,9021,1,Yea
1066377,9022,1,Yea
1066377,9023,1,Yea
1066377,9024,4,Absent
1066377,9025,1,Yea
1066377,9026,1,Yea
1066377,9027,1,Yea
1066377,9028,1,Yea
1066377,9029,1,Yea
1066377,9030,1,Yea
1066377,9031,1,Yea
1066377,9032,1,Yea
1066377,9033,1,Yea
1066377,9034,2,Nay
1066377,9035,1,Yea
1066377,9036,1,Yea
1066377,9037,1,Yea
1066377,9038,1,Yea
1066377,9039,1,Yea
1066377,9040,1,Yea
1066377,9041,1,Yea
1066377,9042,1,Yea
1066377,9043,1,Yea
1066377,9044,1,Yea
1066377,9045,1,Yea
1066377,9046,1,Yea
1066377,9048,1,Yea
1066377,9049,1,Yea
1066377,9050,1,Yea
1066377,9051,1,Yea
1066377,9052,1,Yea
1066377,9053,1,Yea
1066377,9054,1,Yea
1066377,9055,1,Yea
1066377,9056,1,Yea
1066377,9057,1,Yea
1066377,9058,1,Yea
1066377,9059,1,Yea
1066377,9060,1,Yea
1066377,9061,1,Yea
1066377,9062,1,Yea
1066377,9063,1,Yea
1066377,9064,1,Yea
