split,model,n_train,n_test,train_positive_rate,test_positive_rate,train_source_mix,test_source_mix,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,predicted_positive_rate,fit_seconds
transfer_canada_to_us,naive_bayes_text,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.026519966531345664,0.5701592988992543,0.0429202608878603,0.025774932614555258,0.1281943862589024,0.5119247706257523,0.10484761240296385,32.573
transfer_canada_to_us,dummy_stratified,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.02095688473260795,0.4968688298097197,0.03541569299475515,0.02021339656194428,0.14285714285714285,0.4968688298097197,0.14898746809619273,21.257
transfer_canada_to_us,logreg_l1_meta,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.013063844376964973,0.25344558188013855,0.0,0.0,0.0,0.5,0.0,23.518
transfer_us_to_canada,naive_bayes_text,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.1877375505679561,0.5872807477553278,0.0,0.0,0.0,0.5,0.0,19.031
transfer_us_to_canada,linear_svm_meta_text,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.1769934473783285,0.4956083902610322,0.0,0.0,0.0,0.5,0.0,33.97
transfer_us_to_canada,random_forest_meta,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.15349998068823117,0.5017075590505913,0.0,0.0,0.0,0.5,0.0,43.394
transfer_us_to_canada,dummy_stratified,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.14936405444538114,0.4977214159245284,0.028192371475953566,0.12056737588652482,0.01596244131455399,0.4977214159245284,0.01983680360157569,16.244
transfer_us_to_canada,logreg_l2_meta_text,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.11408421235670294,0.3664872793493267,0.0,0.0,0.0,0.5,0.0,646.127
transfer_us_to_canada,logreg_l1_meta,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.11246835681947458,0.3457244209922784,0.0,0.0,0.0,0.5,0.0,426.002
transfer_us_to_canada,logreg_l2_meta,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.11070569950690669,0.34065061115215756,0.0,0.0,0.0,0.5,0.0,17.704
