bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
638183,995291,text,247455,application/pdf,Introduced,https://legiscan.com/US/text/HB4262/id/995291,https://www.congress.gov/113/bills/hr4262/BILLS-113hr4262ih.pdf
638170,995369,text,253743,application/pdf,Introduced,https://legiscan.com/US/text/HB4263/id/995369,https://www.congress.gov/113/bills/hr4263/BILLS-113hr4263ih.pdf
638170,1036509,text,258001,application/pdf,Introduced,https://legiscan.com/US/text/HB4263/id/1036509,https://www.congress.gov/113/bills/hr4263/BILLS-113hr4263rh.pdf
638170,1039128,text,121148,application/pdf,Engrossed,https://legiscan.com/US/text/HB4263/id/1039128,https://www.congress.gov/113/bills/hr4263/BILLS-113hr4263eh.pdf
638172,995361,text,247512,application/pdf,Introduced,https://legiscan.com/US/text/HB4264/id/995361,https://www.congress.gov/113/bills/hr4264/BILLS-113hr4264ih.pdf
638190,995332,text,247963,application/pdf,Introduced,https://legiscan.com/US/text/HB4265/id/995332,https://www.congress.gov/113/bills/hr4265/BILLS-113hr4265ih.pdf
638175,995359,text,257234,application/pdf,Introduced,https://legiscan.com/US/text/HB4266/id/995359,https://www.congress.gov/113/bills/hr4266/BILLS-113hr4266ih.pdf
638186,994513,text,247435,application/pdf,Introduced,https://legiscan.com/US/text/HB4267/id/994513,https://www.congress.gov/113/bills/hr4267/BILLS-113hr4267ih.pdf
638179,995362,text,247851,application/pdf,Introduced,https://legiscan.com/US/text/HB4268/id/995362,https://www.congress.gov/113/bills/hr4268/BILLS-113hr4268ih.pdf
638179,1025989,text,114370,application/pdf,Engrossed,https://legiscan.com/US/text/HB4268/id/1025989,https://www.congress.gov/113/bills/hr4268/BILLS-113hr4268eh.pdf
638161,996456,text,294074,application/pdf,Introduced,https://legiscan.com/US/text/HB4269/id/996456,https://www.congress.gov/113/bills/hr4269/BILLS-113hr4269ih.pdf
638184,995363,text,247860,application/pdf,Introduced,https://legiscan.com/US/text/HB4270/id/995363,https://www.congress.gov/113/bills/hr4270/BILLS-113hr4270ih.pdf
638164,995281,text,249509,application/pdf,Introduced,https://legiscan.com/US/text/HB4271/id/995281,https://www.congress.gov/113/bills/hr4271/BILLS-113hr4271ih.pdf
638180,995335,text,251593,application/pdf,Introduced,https://legiscan.com/US/text/HB4272/id/995335,https://www.congress.gov/113/bills/hr4272/BILLS-113hr4272ih.pdf
638162,995329,text,247854,application/pdf,Introduced,https://legiscan.com/US/text/HB4273/id/995329,https://www.congress.gov/113/bills/hr4273/BILLS-113hr4273ih.pdf
639226,995278,text,249424,application/pdf,Introduced,https://legiscan.com/US/text/HB4274/id/995278,https://www.congress.gov/113/bills/hr4274/BILLS-113hr4274ih.pdf
639220,995276,text,409162,application/pdf,Introduced,https://legiscan.com/US/text/HB4275/id/995276,https://www.congress.gov/113/bills/hr4275/BILLS-113hr4275ih.pdf
639220,997318,text,240577,application/pdf,Engrossed,https://legiscan.com/US/text/HB4275/id/997318,https://www.congress.gov/113/bills/hr4275/BILLS-113hr4275eh.pdf
639220,998086,text,200617,application/pdf,Enrolled,https://legiscan.com/US/text/HB4275/id/998086,https://www.congress.gov/113/bills/hr4275/BILLS-113hr4275enr.pdf
639223,995358,text,256915,application/pdf,Introduced,https://legiscan.com/US/text/HB4276/id/995358,https://www.congress.gov/113/bills/hr4276/BILLS-113hr4276ih.pdf
639223,1045281,text,256800,application/pdf,Introduced,https://legiscan.com/US/text/HB4276/id/1045281,https://www.congress.gov/113/bills/hr4276/BILLS-113hr4276rh.pdf
639223,1045849,text,121178,application/pdf,Engrossed,https://legiscan.com/US/text/HB4276/id/1045849,https://www.congress.gov/113/bills/hr4276/BILLS-113hr4276eh.pdf
639223,1056874,text,125019,application/pdf,Enrolled,https://legiscan.com/US/text/HB4276/id/1056874,https://www.congress.gov/113/bills/hr4276/BILLS-113hr4276enr.pdf
639229,999377,text,274382,application/pdf,Introduced,https://legiscan.com/US/text/HB4277/id/999377,https://www.congress.gov/113/bills/hr4277/BILLS-113hr4277ih.pdf
640225,995317,text,304401,application/pdf,Introduced,https://legiscan.com/US/text/HB4278/id/995317,https://www.congress.gov/113/bills/hr4278/BILLS-113hr4278ih.pdf
640225,999091,text,171973,application/pdf,Engrossed,https://legiscan.com/US/text/HB4278/id/999091,https://www.congress.gov/113/bills/hr4278/BILLS-113hr4278eh.pdf
640220,995307,text,269542,application/pdf,Introduced,https://legiscan.com/US/text/HB4279/id/995307,https://www.congress.gov/113/bills/hr4279/BILLS-113hr4279ih.pdf
640219,995299,text,252753,application/pdf,Introduced,https://legiscan.com/US/text/HB4280/id/995299,https://www.congress.gov/113/bills/hr4280/BILLS-113hr4280ih.pdf
640217,995312,text,250953,application/pdf,Introduced,https://legiscan.com/US/text/HB4281/id/995312,https://www.congress.gov/113/bills/hr4281/BILLS-113hr4281ih.pdf
640227,996721,text,251092,application/pdf,Introduced,https://legiscan.com/US/text/HB4282/id/996721,https://www.congress.gov/113/bills/hr4282/BILLS-113hr4282ih.pdf
640222,995364,text,249079,application/pdf,Introduced,https://legiscan.com/US/text/HB4283/id/995364,https://www.congress.gov/113/bills/hr4283/BILLS-113hr4283ih.pdf
640222,1039913,text,252288,application/pdf,Introduced,https://legiscan.com/US/text/HB4283/id/1039913,https://www.congress.gov/113/bills/hr4283/BILLS-113hr4283rh.pdf
640222,1044784,text,111160,application/pdf,Engrossed,https://legiscan.com/US/text/HB4283/id/1044784,https://www.congress.gov/113/bills/hr4283/BILLS-113hr4283eh.pdf
640496,996201,text,253088,application/pdf,Introduced,https://legiscan.com/US/text/HB4284/id/996201,https://www.congress.gov/113/bills/hr4284/BILLS-113hr4284ih.pdf
640492,996695,text,273592,application/pdf,Introduced,https://legiscan.com/US/text/HB4285/id/996695,https://www.congress.gov/113/bills/hr4285/BILLS-113hr4285ih.pdf
640500,997657,text,419712,application/pdf,Introduced,https://legiscan.com/US/text/HB4286/id/997657,https://www.congress.gov/113/bills/hr4286/BILLS-113hr4286ih.pdf
640467,996124,text,253950,application/pdf,Introduced,https://legiscan.com/US/text/HB4287/id/996124,https://www.congress.gov/113/bills/hr4287/BILLS-113hr4287ih.pdf
640484,996682,text,255175,application/pdf,Introduced,https://legiscan.com/US/text/HB4288/id/996682,https://www.congress.gov/113/bills/hr4288/BILLS-113hr4288ih.pdf
640477,996670,text,253535,application/pdf,Introduced,https://legiscan.com/US/text/HB4289/id/996670,https://www.congress.gov/113/bills/hr4289/BILLS-113hr4289ih.pdf
640477,1036455,text,237437,application/pdf,Introduced,https://legiscan.com/US/text/HB4289/id/1036455,https://www.congress.gov/113/bills/hr4289/BILLS-113hr4289rh.pdf
640477,1039124,text,120044,application/pdf,Engrossed,https://legiscan.com/US/text/HB4289/id/1039124,https://www.congress.gov/113/bills/hr4289/BILLS-113hr4289eh.pdf
640981,997846,text,250605,application/pdf,Introduced,https://legiscan.com/US/text/HB4290/id/997846,https://www.congress.gov/113/bills/hr4290/BILLS-113hr4290ih.pdf
640981,1040568,text,251384,application/pdf,Introduced,https://legiscan.com/US/text/HB4290/id/1040568,https://www.congress.gov/113/bills/hr4290/BILLS-113hr4290rh.pdf
